"metabolite","AIC","Estimate","Std..Error","z.value","Pr...z..","qOrFDR"
"X401.3411_9",-576.904907097501,0.00810951819146398,0.00167094978286273,4.85323872365,1.21461332630458e-06,0.000162510841589203
"X385.3462_9.43",-978.914239627403,0.00132016752364505,0.000266684279069187,4.95030126354977,7.4098689336703e-07,0.000162510841589203
"X627.1898_4.38",-1000.35941824758,9.12114470437863e-05,1.90764904933738e-05,4.78135362872267,1.74118758845575e-06,0.000162510841589203
"X603.8957_4.33",-1339.8863373123,0.000257669114557852,5.60592248020533e-05,4.59637312980493,4.29908539211913e-06,0.000300935977448339
"X731.5537_4.38",-808.2574433693,0.000102235301131164,2.45091880491983e-05,4.17130510100716,3.02860031878511e-05,0.00169601617851966
"X616.1758_5.87",-484.466557655965,-0.0193313367507728,0.00484746630206901,-3.98792596918554,6.66534547200811e-05,0.00311049455360378
"X627.333_4.38",-870.49202054774,7.15056542556749e-05,1.85228957747285e-05,3.86039284166532,0.000113204878359563,0.00452819513438252
"X209.092_0.65",-1159.42192235842,-0.000817002304663351,0.000231120346960937,-3.53496485881202,0.000407829391332936,0.0142740286966528
"X494.324_6.31",-1111.08634902933,0.00109725389891762,0.000314389982225858,3.49010452288953,0.000482831662275571,0.0150214294930178
"X538.387_8.16",-798.783647460405,0.000514053298367938,0.000149581490630542,3.43661034664791,0.000589042354449866,0.0154954074947371
"X174.1125_2.77",-381.8363597659,-0.00025986772856397,7.58143236102842e-05,-3.42768643429168,0.000608748151578959,0.0154954074947371
"X550.3871_7.77",-900.732938564619,0.000504402087450692,0.000152623506031582,3.3048781315921,0.000950177060545376,0.020465352073285
"X659.3776_4.09",-716.794882077135,0.000109083389900327,3.28180224325543e-05,3.3238867492552,0.000887722378584521,0.020465352073285
"X496.3397_6.81",-412.421818606313,0.0276267356401913,0.00876982013402149,3.15020550227896,0.00163155654435575,0.0272549860292248
"X225.0346_0.3",-1229.01844636211,0.000733698803469632,0.000231857605183629,3.1644370814947,0.00155383254159546,0.0272549860292248
"X669.709_4.12",-1094.68650984321,9.16033247894751e-05,2.91166867559595e-05,3.14607652846099,0.00165476700891722,0.0272549860292248
"X474.2872_3.89",-1210.21505748107,-0.000123870506083783,3.88656374643471e-05,-3.18714716045539,0.00143683648912258,0.0272549860292248
